date,avg_gas_price_wei,gas_used_daily,gas_limit_per_block,block_time_sec,block_count,block_size_bytes,transaction_count,pol_usd,avg_gas_gwei,gas_used_per_block,utilization,gas_used_per_sec,gas_capacity_per_sec,gas_capacity_daily,transactions_per_sec,log_avg_gas_gwei,log_gas_used_per_sec,log_gas_capacity_per_sec,gas_limit_level_millions,block_time_level_sec,supply_state,supply_epoch_id,baseline_gwei,gas_price_to_baseline_ratio,gwei_above_baseline,is_spike_day,baseline_band,fee_state
2025-12-01 00:00:00+00:00,317911473993,1102338026372,50747598,2.0,43200,106373,5404954,0.12,317.911473993,25517083.943796296,0.502823482281788,12758541.971898148,25373799.0,2192296233600.0,62.55733796296296,5.764913553277813,16.36171164220575,17.049227703567595,50,2.0,50M/2s,4,216.315725743,1.469664181376733,101.59574825000001,False,middle_baseline,middle_baseline
2025-12-02 00:00:00+00:00,112795045287,1185916393902,55000000,2.0,43199,121689,5574896,0.13,112.795045287,27452403.849672448,0.49913461544858995,13725884.188680556,27500000.0,2376000000000.0,64.52425925925925,4.734398981965832,16.434794037901714,17.129696599000436,55,2.0,55M/2s,5,216.315725743,0.5214371026404679,-103.52068045600001,False,middle_baseline,middle_baseline
2025-12-03 00:00:00+00:00,113969072819,1191629402170,55000000,2.0,43200,113962,5816125,0.13,113.969072819,27584013.93912037,0.501527526165825,13792006.969560185,27500000.0,2376000000000.0,67.31626157407408,4.744663160185857,16.439599849724786,17.129696599000436,55,2.0,55M/2s,5,174.673769929,0.6524681574418715,-60.70469711,False,middle_baseline,middle_baseline
2025-12-04 00:00:00+00:00,123661766615,1189851870975,55000000,2.0,43200,114517,6184858,0.12,123.661766615,27542867.383680556,0.5007794069760101,13771433.691840278,27500000.0,2376000000000.0,71.58400462962963,4.825604202746679,16.438107054953598,17.129696599000436,55,2.0,55M/2s,5,141.0529676635,0.8767044654459951,-17.391201048499994,False,middle_baseline,middle_baseline
2025-12-05 00:00:00+00:00,96615596716,1156392324109,55000000,2.0,43200,107682,5799539,0.12,96.615596716,26768340.835856482,0.4866971061064815,13384170.417928241,27500000.0,2376000000000.0,67.12429398148149,4.581037283070033,16.40958332924223,17.129696599000436,55,2.0,55M/2s,5,132.30153091,0.7302681688674044,-35.685934194,False,middle_baseline,middle_baseline
2025-12-06 00:00:00+00:00,67171208893,1123013944266,55000000,2.0,43200,112632,5803026,0.12,67.171208893,25995693.154305555,0.47264896644191917,12997846.577152777,27500000.0,2376000000000.0,67.16465277777777,4.2220223187219315,16.380294330729175,17.129696599000436,55,2.0,55M/2s,5,125.1270051535,0.5368242355884526,-57.955796260499994,False,middle_baseline,middle_baseline
2025-12-07 00:00:00+00:00,79842150010,1151189615924,55000000,2.0,43199,112138,5665904,0.12,79.84215001,26648524.640014816,0.4845186298184512,13323953.88800926,27500000.0,2376000000000.0,65.5775925925926,4.392498488050139,16.405074092520632,17.129696599000436,55,2.0,55M/2s,5,118.815419717,0.6719847491190258,-38.973269707,False,middle_baseline,middle_baseline
2025-12-08 00:00:00+00:00,107670460227,1164500620309,55826989,2.0,43200,117974,5533137,0.12,107.670460227,26956032.877523147,0.4828494848167998,13478016.438761573,27913494.5,2411725924800.0,64.0409375,4.688320002153673,16.416570578356104,17.1446208395192,55,2.0,55M/2s,5,113.382059053,0.9496251975514916,-5.7115988259999995,False,middle_baseline,middle_baseline
2025-12-09 00:00:00+00:00,89355592961,1288080015832,60000000,2.0,43170,137607,6323795,0.13,89.355592961,29837387.44109335,0.4972897906848892,14908333.516574074,30000000.0,2592000000000.0,73.19207175925926,4.503752918398457,16.517430978058684,17.216707972959764,60,2.0,60M/2s,6,112.175517593,0.796569473253547,-22.819924631999996,False,middle_baseline,middle_baseline
2025-12-10 00:00:00+00:00,72312733208,1313840036185,60000000,2.0,43155,128528,6685079,0.12,72.312733208,30444677.005793072,0.5074112834298845,15206481.900289351,30000000.0,2592000000000.0,77.37359953703704,4.294734307421423,16.537232401486403,17.216707972959764,60,2.0,60M/2s,6,109.613225063,0.6597081069956512,-37.300491855000004,False,middle_baseline,middle_baseline
2025-12-11 00:00:00+00:00,111830168422,1193068890764,60000000,2.0,43139,119537,8125858,0.12,111.830168422,27656387.27749832,0.4609397879583053,13808667.717175925,30000000.0,2592000000000.0,94.0492824074074,4.725883753855081,16.440807120823855,17.216707972959764,60,2.0,60M/2s,6,109.613225063,1.0202251448921953,2.2169433589999983,False,middle_baseline,middle_baseline
2025-12-12 00:00:00+00:00,150575123097,1179740600410,60000000,2.0,43160,115034,6460813,0.12,150.575123097,27334119.56464319,0.4555686594107198,13654405.097337963,30000000.0,2592000000000.0,74.77792824074074,5.021081364076878,16.4295728185232,17.216707972959764,60,2.0,60M/2s,6,109.75031432450001,1.3719789690241142,40.82480877249998,False,middle_baseline,middle_baseline
2025-12-13 00:00:00+00:00,108956170841,1097865889946,60000000,2.0,43187,112155,5047956,0.12,108.956170841,25421212.16907866,0.4236868694846443,12706781.13363426,30000000.0,2592000000000.0,58.42541666666666,4.700081839491358,16.35764643515795,17.216707972959764,60,2.0,60M/2s,6,109.75031432450001,0.9927640892111529,-0.7941434835000081,False,middle_baseline,middle_baseline
2025-12-14 00:00:00+00:00,55523941608,1222978044911,60000000,2.0,43199,119001,5093585,0.12,55.523941608,28310332.297298547,0.47183887162164245,14154838.482766204,30000000.0,2592000000000.0,58.953530092592594,4.034664293672058,16.465567136496773,17.216707972959764,60,2.0,60M/2s,6,110.3931696315,0.5029653718010157,-54.8692280235,False,middle_baseline,middle_baseline
2025-12-15 00:00:00+00:00,85897969481,1291769282106,60000000,2.04,42323,136323,5701721,0.11,85.897969481,30521685.185501974,0.5086947530916995,14951033.357708333,29411764.70588235,2541176470588.2354,65.99214120370371,4.464734665841852,16.520291043214183,17.19690534633025,60,2.0,60M/2s,6,108.313315534,0.7930508733622532,-22.415346052999993,False,middle_baseline,middle_baseline
2025-12-16 00:00:00+00:00,141641569586,1229505993694,60000000,2.11,40945,129203,6454810,0.11,141.641569586,30028232.841470264,0.5004705473578378,14230393.445532408,28436018.957345974,2456872037914.692,74.70844907407407,4.960334977322161,16.47089068897437,17.163167207865065,60,2.0,60M/2s,6,102.1430284715,1.3866983552922645,39.4985411145,False,middle_baseline,middle_baseline
2025-12-17 00:00:00+00:00,145217151487,1143918245327,60000000,2.19,39512,119429,6125744,0.11,145.217151487,28951160.288697105,0.48251933814495174,13239794.506099537,27397260.273972604,2367123287671.233,70.89981481481482,4.985092855667342,16.398737663195213,17.125953612857966,60,2.0,60M/2s,6,102.1430284715,1.4217039935086568,43.07412301549999,False,middle_baseline,middle_baseline
2025-12-18 00:00:00+00:00,71497597147,1271396934813,60000000,2.0,43170,125095,7854829,0.1,71.497597147,29450936.641487144,0.49084894402478574,14715242.301076388,30000000.0,2592000000000.0,90.91237268518519,4.283553418511394,16.504394473734997,17.216707972959764,60,2.0,60M/2s,6,102.1430284715,0.6999753014661132,-30.64543132450001,False,middle_baseline,middle_baseline
2025-12-19 00:00:00+00:00,142834898921,1305158683652,60000000,2.0,43191,125408,6004467,0.11,142.834898921,30218302.045611355,0.5036383674268559,15106003.283009259,30000000.0,2592000000000.0,69.49614583333333,4.968666106530781,16.530602857385826,17.216707972959764,60,2.0,60M/2s,6,92.98559483849999,1.5360970607230042,49.8493040825,False,middle_baseline,middle_baseline
2025-12-20 00:00:00+00:00,108059198339,1290201868060,60000000,2.0,43182,122007,6514686,0.11,108.059198339,29878233.24672317,0.4979705541120529,14932891.991435185,30000000.0,2592000000000.0,75.40145833333334,4.691890838829051,16.519076921101668,17.216707972959764,60,2.0,60M/2s,6,98.513026594,1.0969026338449885,9.54617174500001,False,middle_baseline,middle_baseline
